"code","latest_ecp","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"AUDL7806","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93228","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AUDL7803","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94409","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AUDL7807","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=92543","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AUDL7808","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99117","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"AUDL7812","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93229","","  S2    ","  S2    ","  S2    ","  S2    ","S1S2    ","S1S2    ","S1S2    ","  S2    ","  S2    ","  S2    "
"AUDL7814","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=92581","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AUDL7821","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97818","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"AUDL7822","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98469","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"AUDL7823","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94386","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AUDL7825","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99078","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"AUST1000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96899","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"AUST1010","","","","","","","","","","","",""
"AUST2000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100104","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1      ","S1S2    ","S1S2    ","S1S2    "
"AUST2002","","","","","","","","","","","",""
"AUST2010","","","","","","","","","","","",""
"AUST6120","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=37906","","","","","","","","","","S1S2    ","S1S2    "
"AUST6100","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=37905","","","","","","","","","","S1S2    ","S1S2    "
"AUDL7824","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95948","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BESC1003E","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96657","","T1      ","T1      ","T1      ","T1      ","T1      ","T1      ","T1      ","T1      ","T1      ",""
"BESC1023E","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96032","","  T2    ","  T2    ","  T2    ","  T2    ","  T2    ","  T2    ","  T2    ","  T2    ","  T2    ",""
"BESC1033E","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95494","","    T3  ","    T3  ","    T3  ","    T3  ","    T3  ","    T3  ","    T3  ","","",""
"BINF6000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97187","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","",""
"BINF6001","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98483","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","",""
"BINF7001","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93802","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","",""
"BINF7002","","","","","","","","","","","",""
"BINF7003","","","","","","","","","","","",""
"BIOC1011","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99299","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOC2000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99928","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOC3000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98034","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOC3001","","","","","","","","","","","",""
"BINF7000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94428","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","",""
"BIOC3003","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=90579","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOC3004","","","","","","","","","","","",""
"BIOC3005","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93627","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOC3006","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93142","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","","","",""
"BIOC6006","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95703","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  "
"BIOC3002","","","","","","","","","","","",""
"BIOC6007","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94413","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOC6017","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=90739","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOC6014","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95747","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  "
"BIOC6020","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=73961","","","","","","S1      ","S1      ","S1      ","S1      ","",""
"BIOC6401","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=48699","","","","","","","","","S1      ","S1S2    ","S1S2    "
"BIOC6502","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=43179","","","","","","","","","","  S2    ",""
"BIOC6511","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96727","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","",""
"BIOC6512","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=92975","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","",""
"BIOC6513","","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1S2    ","",""
"BIOC7001","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=90745","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOC7000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99720","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOC7002","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=86890","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOC7004","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99734","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOC7009","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95749","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  "
"BIOC7010","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95693","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  "
"BIOC7011","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95694","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  "
"BIOC7017","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=88756","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2SS  ","  S2    ","  S2    ","  S2SS  ","  S2    "
"BIOC7014","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95724","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  "
"BIOC7003","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95701","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  "
"BIOC7018","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95723","","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  "
"BIOC7021","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95750","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  "
"BIOC7022","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100290","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOC7023","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=90707","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOC7024","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93741","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2SS  ","  S2    "
"BIOC7025","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95708","","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  "
"BIOC8000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95725","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  "
"BIOC7026","","","","","","","","","","","",""
"BIOL1007","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99942","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL1001E","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93276","","T1      ","T1      ","T1      ","T1      ","T1      ","T1      ","T1      ","T1      ","",""
"BIOL1020","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97996","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"BIOL1021E","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99824","","  T2    ","  T2    ","  T2    ","  T2    ","  T2    ","  T2    ","  T2    ","  T2    ","  T2    ",""
"BIOL1028","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=61280","","","","","","","","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL1031E","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95490","","    T3  ","    T3  ","    T3  ","    T3  ","    T3  ","    T3  ","    T3  ","","",""
"BIOL1030","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97533","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL1100","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100077","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","","",""
"BIOL1630","","","  S2    ","","","","","","","","",""
"BIOL1900","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98622","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","",""
"BIOL2001","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96753","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"BIOL2006","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100520","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL2010","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98609","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL2015","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99271","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL2106","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97312","","S1      ","S1      ","S1      ","","","","","","",""
"BIOL1040","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98585","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"BIOL2200","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100540","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL2201","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98357","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL2202","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94926","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL2203","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=90633","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL2204","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97690","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL2630","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=92724","","  S2    ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","",""
"BIOL2205","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99538","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL2902","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93644","","  S2    ","  S2    ","  S2    ","","","","","","",""
"BIOL3000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95810","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","S1      "
"BIOL3002","","","","","","","","","","","",""
"BIOL3003","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98002","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL3004","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99177","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL3005","","","","","","","","","","","",""
"BIOL3006","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99903","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL3009","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98610","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL3010","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=75442","","","","","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL3011","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=92461","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL3014","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94878","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL3015","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=75626","","","","","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL3016","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98672","","S1      ","S1      ","S1      ","S1      ","S1      ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"BIOL3023","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96396","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","","","",""
"BIOL3200","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=91919","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","S1      "
"BIOL3201","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100556","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL3203","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98024","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL3202","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98023","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL3204","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=92470","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL3205","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98917","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL3206","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=75388","","","","","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL3208","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=75215","","","","","","  S2    ","  S2    ","","  S2    ","  S2    ","  S2    "
"BIOL3207","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100507","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL3209","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96908","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","","S1      ","S1      ","S1      "
"BIOL3210","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95571","","    SS  ","    SS  ","    SS  ","","","","","","",""
"BIOL3211","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98064","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL3212","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=76534","","","","","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL3214","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=71982","","","","","","S1      ","S1      ","S1      ","S1      ","S1      ","  S2    "
"BIOL3215","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99644","","  S2    ","  S2    ","  S2    ","  S2    ","S1      ","","","S1      ","S1      ","S1      "
"BIOL3219","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=57964","","","","","","","","S1      ","S1      ","S1      ","S1      "
"BIOL3221","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=33523","","","","","","","","","","","  S2    "
"BIOL3222","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99539","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL3228","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=74982","","","","","","  S2    ","  S2    ","  S2    ","","",""
"BIOL3230","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=58850","","","","","","","","S1      ","S1      ","S1      ","S1      "
"BIOL3232","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95743","","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","","    SS  ","","    SS  "
"BIOL3234","","","","","","","","","","","",""
"BIOL3236","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93148","","","  S2    ","  S2    ","  S2    ","  S2    ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL3238","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96148","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"BIOL3227","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100752","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOL3310","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99901","","S1      ","S1      ","S1      ","","","","","","",""
"BIOL3239","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=87032","","","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ",""
"BIOL3320","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98374","","  S2    ","  S2    ","  S2    ","  S2    ","","","","","",""
"BIOL3340","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96112","","S1      ","S1      ","S1      ","  S2    ","","","","","",""
"BIOL3350","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=101299","","  S2    ","","  S2    ","  S2    ","","","","","",""
"BIOL3360","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97352","","S1      ","S1      ","S1      ","","","","","","",""
"BIOL3380","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97362","","S1      ","S1      ","S1      ","","","","","","",""
"BIOL3370","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99241","","S1      ","S1      ","S1      ","","","","","","",""
"BIOL3390","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99257","","S1      ","S1      ","S1      ","","","","","","",""
"BIOL6403","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96428","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ",""
"BIOL6402","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97310","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ",""
"BIOL6500","","","","","","","","","","","",""
"BIOL6501","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97957","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ",""
"BIOL6502","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96429","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ",""
"BIOL6504","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=58309","","","","","","","","S1      ","S1      ","",""
"BIOL6505","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=60906","","","","","","","","  S2    ","  S2    ","",""
"BIOL6506","","","","","","","","","S1S2    ","S1S2    ","",""
"BIOL7005","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95704","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  "
"BIOL6510","","","","","","","","","","","",""
"BIOL7011","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95163","","  S2    ","  S2    ","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","",""
"BIOL7012","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94423","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","",""
"BIOL7013","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96610","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","  S2    ","",""
"BIOL7017","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99674","","S1      ","S1      ","S1      ","","","","","","",""
"BIOL7232","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95714","","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","",""
"BIOL7386","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=74230","","","","","","S1      ","S1      ","S1      ","S1      ","",""
"BIOL7630","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=62351","","","","","","","","S1      ","S1      ","",""
"BIOM1050","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97949","","S1      ","S1      ","S1      ","S1      ","","","","","",""
"BIOL8001","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=86235","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  "
"BIOM1051","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100477","","S1      ","S1      ","S1      ","","","","","","",""
"BIOL6503","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96077","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2SS  ","S1S2    ","S1S2    ",""
"BIOM1052","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93571","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOM1060","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97959","","S1      ","S1      ","","","","","","","",""
"BIOM1061","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=92495","","  S2    ","  S2    ","","","","","","","",""
"BIOM2010","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=90540","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"BIOM2011","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100979","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1S2    ","S1S2    ","S1S2    ","S1      "
